1.0,0.5,0,8
1.0,0.5,2,8
1.0,0.5,4,8
1.0,0.5,6,8
2.0,1.5,0,8
2.0,1.5,2,8
2.0,1.5,4,8
2.0,1.5,6,8
3.0,2.5,0,8
3.0,2.5,2,8
3.0,2.5,4,8
3.0,2.5,6,8
4.0,3.5,0,8
4.0,3.5,2,8
4.0,3.5,4,8
4.0,3.5,6,8
5.0,4.5,0,8
5.0,4.5,2,8
5.0,4.5,4,8
5.0,4.5,6,8
6.0,5.5,0,8
6.0,5.5,2,8
6.0,5.5,4,8
6.0,5.5,6,8
7.0,6.5,0,8
7.0,6.5,2,8
7.0,6.5,4,8
7.0,6.5,6,8
8.0,7.5,0,8
8.0,7.5,2,8
8.0,7.5,4,8
8.0,7.5,6,8
1.0,0.5,0,12
1.0,0.5,2,12
1.0,0.5,4,12
1.0,0.5,6,12
2.0,1.5,0,12
2.0,1.5,2,12
2.0,1.5,4,12
2.0,1.5,6,12
3.0,2.5,0,12
3.0,2.5,2,12
3.0,2.5,4,12
3.0,2.5,6,12
4.0,3.5,0,12
4.0,3.5,2,12
4.0,3.5,4,12
4.0,3.5,6,12
5.0,4.5,0,12
5.0,4.5,2,12
5.0,4.5,4,12
5.0,4.5,6,12
6.0,5.5,0,12
6.0,5.5,2,12
6.0,5.5,4,12
6.0,5.5,6,12
7.0,6.5,0,12
7.0,6.5,2,12
7.0,6.5,4,12
7.0,6.5,6,12
8.0,7.5,0,12
8.0,7.5,2,12
8.0,7.5,4,12
8.0,7.5,6,12
1.0,0.5,0,16
1.0,0.5,2,16
1.0,0.5,4,16
1.0,0.5,6,16
2.0,1.5,0,16
2.0,1.5,2,16
2.0,1.5,4,16
2.0,1.5,6,16
3.0,2.5,0,16
3.0,2.5,2,16
3.0,2.5,4,16
3.0,2.5,6,16
4.0,3.5,0,16
4.0,3.5,2,16
4.0,3.5,4,16
4.0,3.5,6,16
5.0,4.5,0,16
5.0,4.5,2,16
5.0,4.5,4,16
5.0,4.5,6,16
6.0,5.5,0,16
6.0,5.5,2,16
6.0,5.5,4,16
6.0,5.5,6,16
7.0,6.5,0,16
7.0,6.5,2,16
7.0,6.5,4,16
7.0,6.5,6,16
8.0,7.5,0,16
8.0,7.5,2,16
8.0,7.5,4,16
8.0,7.5,6,16
1.0,0.5,0,20
1.0,0.5,2,20
1.0,0.5,4,20
1.0,0.5,6,20
2.0,1.5,0,20
2.0,1.5,2,20
2.0,1.5,4,20
2.0,1.5,6,20
3.0,2.5,0,20
3.0,2.5,2,20
3.0,2.5,4,20
3.0,2.5,6,20
4.0,3.5,0,20
4.0,3.5,2,20
4.0,3.5,4,20
4.0,3.5,6,20
5.0,4.5,0,20
5.0,4.5,2,20
5.0,4.5,4,20
5.0,4.5,6,20
6.0,5.5,0,20
6.0,5.5,2,20
6.0,5.5,4,20
6.0,5.5,6,20
7.0,6.5,0,20
7.0,6.5,2,20
7.0,6.5,4,20
7.0,6.5,6,20
8.0,7.5,0,20
8.0,7.5,2,20
8.0,7.5,4,20
8.0,7.5,6,20
1.0,0.5,0,24
1.0,0.5,2,24
1.0,0.5,4,24
1.0,0.5,6,24
2.0,1.5,0,24
2.0,1.5,2,24
2.0,1.5,4,24
2.0,1.5,6,24
3.0,2.5,0,24
3.0,2.5,2,24
3.0,2.5,4,24
3.0,2.5,6,24
4.0,3.5,0,24
4.0,3.5,2,24
4.0,3.5,4,24
4.0,3.5,6,24
5.0,4.5,0,24
5.0,4.5,2,24
5.0,4.5,4,24
5.0,4.5,6,24
6.0,5.5,0,24
6.0,5.5,2,24
6.0,5.5,4,24
6.0,5.5,6,24
7.0,6.5,0,24
7.0,6.5,2,24
7.0,6.5,4,24
7.0,6.5,6,24
8.0,7.5,0,24
8.0,7.5,2,24
8.0,7.5,4,24
8.0,7.5,6,24
1.0,0.5,0,28
1.0,0.5,2,28
1.0,0.5,4,28
1.0,0.5,6,28
2.0,1.5,0,28
2.0,1.5,2,28
2.0,1.5,4,28
2.0,1.5,6,28
3.0,2.5,0,28
3.0,2.5,2,28
3.0,2.5,4,28
3.0,2.5,6,28
4.0,3.5,0,28
4.0,3.5,2,28
4.0,3.5,4,28
4.0,3.5,6,28
5.0,4.5,0,28
5.0,4.5,2,28
5.0,4.5,4,28
5.0,4.5,6,28
6.0,5.5,0,28
6.0,5.5,2,28
6.0,5.5,4,28
6.0,5.5,6,28
7.0,6.5,0,28
7.0,6.5,2,28
7.0,6.5,4,28
7.0,6.5,6,28
8.0,7.5,0,28
8.0,7.5,2,28
8.0,7.5,4,28
8.0,7.5,6,28
